,Topic_Number,LDA_Equation
0,0,"[('libertarian', 0.04827586206896552), ('juniper', 0.027586206896551724), ('barrett', 0.020689655172413793), ('sniper', 0.020689655172413793), ('dane', 0.020689655172413793), ('dabo', 0.013793103448275862), ('unarmed', 0.013793103448275862), ('mcinne', 0.013793103448275862), ('rocky_mountain', 0.013793103448275862), ('swinney', 0.013793103448275862)]"
1,1,"[('islander', 0.016216216216216217), ('spawn', 0.010810810810810811), ('bischoff', 0.010810810810810811), ('biasedit', 0.005405405405405406), ('releasedthe', 0.005405405405405406), ('leakin', 0.005405405405405406), ('fol', 0.005405405405405406), ('voight', 0.005405405405405406), ('eveningoh', 0.005405405405405406), ('tuitionnoth', 0.005405405405405406)]"
2,2,"[('booze', 0.014084507042253521), ('esoteric', 0.014084507042253521), ('immature', 0.014084507042253521), ('dfw', 0.014084507042253521), ('writeractress', 0.014084507042253521), ('leng', 0.014084507042253521), ('dollar_general', 0.014084507042253521), ('notre_dame', 0.014084507042253521), ('goofin', 0.014084507042253521), ('sanderman', 0.014084507042253521)]"
3,3,"[('prizes_daysday', 0.031496062992125984), ('capitulo', 0.015748031496062992), ('neuron', 0.015748031496062992), ('poopalot', 0.007874015748031496), ('voicesfall', 0.007874015748031496), ('america', 0.007874015748031496), ('treeto', 0.007874015748031496), ('oppressive', 0.007874015748031496), ('champor', 0.007874015748031496), ('skinsay', 0.007874015748031496)]"
4,4,"[('snowballish', 0.010638297872340425), ('barnes_noble', 0.010638297872340425), ('sewing_machine', 0.010638297872340425), ('instagrami', 0.010638297872340425), ('madeaoh', 0.010638297872340425), ('dese', 0.010638297872340425), ('domonic', 0.010638297872340425), ('fastfood', 0.010638297872340425), ('brainfart', 0.010638297872340425), ('les_miserable', 0.010638297872340425)]"
5,5,"[('year', 0.01553493486155999), ('people', 0.013544130876620132), ('give', 0.013535801152833772), ('make', 0.01333588778196115), ('point', 0.011969813080998233), ('show', 0.009162696164995168), ('time', 0.009146036717422451), ('good', 0.009071069203345217), ('work', 0.008429680471795556), ('call', 0.007846599806750409)]"
6,6,"[('beforejust', 0.011235955056179775), ('dadgene', 0.011235955056179775), ('sleepwhich', 0.011235955056179775), ('chatthey', 0.011235955056179775), ('belittle', 0.011235955056179775), ('humorit', 0.011235955056179775), ('rushed', 0.011235955056179775), ('eclipsewatching', 0.011235955056179775), ('acneholy', 0.011235955056179775), ('umbrellawe', 0.011235955056179775)]"
7,7,"[('mafia', 0.042492917847025496), ('dota', 0.028328611898016998), ('slack', 0.019830028328611898), ('mhmm', 0.0169971671388102), ('merlini', 0.014164305949008499), ('kappa', 0.014164305949008499), ('favourite', 0.0113314447592068), ('artifact', 0.0113314447592068), ('osfrog', 0.0084985835694051), ('purge', 0.0084985835694051)]"
8,8,"[('bounty', 0.017241379310344827), ('bcio', 0.017241379310344827), ('valuable_lesson', 0.017241379310344827), ('irljohn', 0.017241379310344827), ('carbona', 0.017241379310344827), ('volatility', 0.017241379310344827), ('apple_picking', 0.017241379310344827), ('postrace', 0.017241379310344827), ('cliff', 0.017241379310344827), ('greatdark', 0.017241379310344827)]"
9,9,"[('downtrump', 0.043478260869565216), ('hemisphere', 0.021739130434782608), ('slaveowner', 0.010869565217391304), ('lessor', 0.010869565217391304), ('youill', 0.010869565217391304), ('rocketcop', 0.010869565217391304), ('obvioustrump', 0.010869565217391304), ('downsize', 0.010869565217391304), ('pol', 0.010869565217391304), ('prismto', 0.010869565217391304)]"
10,10,"[('facebook', 0.0509433962264151), ('post', 0.04764150943396227), ('photo', 0.04433962264150943), ('video', 0.021462264150943395), ('posted_photo', 0.01509433962264151), ('dnt', 0.014622641509433962), ('official', 0.0125), ('juss', 0.012264150943396227), ('dat', 0.011556603773584905), ('fukk', 0.011084905660377358)]"
11,11,"[('todayif', 0.021052631578947368), ('lindy', 0.010526315789473684), ('helpper', 0.010526315789473684), ('bott', 0.010526315789473684), ('brigand', 0.010526315789473684), ('pga_championship', 0.010526315789473684), ('smartly', 0.010526315789473684), ('bodhi', 0.010526315789473684), ('strive', 0.010526315789473684), ('flux', 0.010526315789473684)]"
12,12,"[('florida', 0.04296875), ('fsu', 0.020833333333333332), ('gator', 0.020833333333333332), ('ray', 0.01953125), ('exam', 0.01171875), ('forced_bot', 0.01171875), ('arbys', 0.010416666666666666), ('sec', 0.010416666666666666), ('usc', 0.010416666666666666), ('jackass', 0.010416666666666666)]"
13,13,"[('emblem', 0.02830188679245283), ('pink', 0.02830188679245283), ('acura', 0.018867924528301886), ('rdx', 0.018867924528301886), ('rajon', 0.018867924528301886), ('dyc', 0.018867924528301886), ('bedbugs', 0.009433962264150943), ('sropp', 0.009433962264150943), ('devilish', 0.009433962264150943), ('muchi', 0.009433962264150943)]"
14,14,"[('lvp', 0.027241470510446973), ('dorit', 0.02591906902935731), ('dog', 0.01930706162390902), ('rinna', 0.017455699550383497), ('kyle', 0.017455699550383497), ('liberal', 0.015868817773075906), ('lisa', 0.011637133033588997), ('true', 0.011637133033588997), ('hope', 0.010314731552499339), ('poor', 0.008198889182755884)]"
15,15,"[('tether', 0.019801980198019802), ('thatll_teach', 0.009900990099009901), ('safi', 0.009900990099009901), ('crestlinehe', 0.009900990099009901), ('creech', 0.009900990099009901), ('lanetweet', 0.009900990099009901), ('fox_new', 0.009900990099009901), ('sanibel', 0.009900990099009901), ('driil', 0.009900990099009901), ('dontcha', 0.009900990099009901)]"
16,16,"[('sweepstake', 0.05238095238095238), ('trip', 0.022857142857142857), ('cave', 0.017142857142857144), ('instant_priz', 0.01619047619047619), ('driver', 0.015238095238095238), ('instantly', 0.015238095238095238), ('golf', 0.014285714285714285), ('grand_prize', 0.014285714285714285), ('ultimate', 0.012380952380952381), ('answer', 0.012380952380952381)]"
17,17,"[('bmx', 0.01753731343283582), ('jib_tape', 0.015671641791044775), ('tape', 0.014925373134328358), ('section', 0.014925373134328358), ('session', 0.013432835820895522), ('clip', 0.012313432835820896), ('street', 0.012313432835820896), ('rid', 0.011567164179104477), ('philadelphia', 0.011567164179104477), ('aka', 0.010074626865671642)]"
18,18,"[('kait', 0.01694915254237288), ('israeli', 0.01694915254237288), ('monica', 0.00847457627118644), ('principlesurewe', 0.00847457627118644), ('nonmuslim', 0.00847457627118644), ('surfline', 0.00847457627118644), ('kavanaughthis', 0.00847457627118644), ('eviscerate', 0.00847457627118644), ('rushing', 0.00847457627118644), ('regis', 0.00847457627118644)]"
19,19,"[('search', 0.30773774365032486), ('web', 0.30655640874187834), ('swag_buck', 0.3063595195904706), ('earn', 0.004134672179562906), ('collectors_bill', 0.0035440047253396337), ('set', 0.0035440047253396337), ('bonus', 0.0035440047253396337), ('limited_edition', 0.0033471155739318763), ('watching_sbtv', 0.002756448119708604), ('swagbuck', 0.002362669816893089)]"
20,20,"[('love', 0.035109256076602015), ('life', 0.03138182710979175), ('woman', 0.013436600227663326), ('heart', 0.013124121152601389), ('feel', 0.012900921813271432), ('world', 0.01176260518268866), ('good', 0.011539405843358703), ('dream', 0.009575251657255094), ('god', 0.008012856281945405), ('live', 0.007298618396089547)]"
21,21,"[('posted_photo', 0.09693417493237151), ('awesome', 0.021190261496844005), ('gunna', 0.02028854824165915), ('pic', 0.013525698827772768), ('nerd', 0.009918845807033363), ('yea', 0.009017132551848512), ('ill', 0.008566275924256087), ('naked', 0.006762849413886384), ('bored', 0.006762849413886384), ('sort', 0.0063119927862939585)]"
22,22,"[('sell', 0.0552228875582169), ('complete', 0.05123087159015303), ('time', 0.043912175648702596), ('find', 0.0385894876912841), ('saving', 0.03792415169660679), ('scene', 0.037258815701929474), ('savings_pricebender', 0.03526280771789754), ('check', 0.027278775781769793), ('pricebenders_auction', 0.02594810379241517), ('medal', 0.021956087824351298)]"
23,23,"[('neverknow', 0.00980392156862745), ('watterson', 0.00980392156862745), ('coulier', 0.00980392156862745), ('dinnertype', 0.00980392156862745), ('handstand', 0.00980392156862745), ('icy', 0.00980392156862745), ('virgil', 0.00980392156862745), ('oops', 0.00980392156862745), ('strongeramirite', 0.00980392156862745), ('pirsig', 0.00980392156862745)]"
24,24,"[('live', 0.035096708082490075), ('ticket', 0.020238247726399386), ('dj', 0.017676444216728576), ('festival', 0.016907903163827336), ('free', 0.013705648776738823), ('music', 0.013449468425771743), ('mix', 0.011912386319969258), ('set', 0.011912386319969258), ('radio', 0.011784296144485718), ('podcast', 0.011656205969002178)]"
25,25,"[('melissa', 0.0375249500998004), ('jake', 0.021157684630738523), ('adriana', 0.017964071856287425), ('dan', 0.015169660678642715), ('disney', 0.014770459081836327), ('music', 0.013173652694610778), ('fall', 0.01277445109780439), ('miss', 0.012375249500998005), ('concert', 0.011976047904191617), ('boy', 0.01157684630738523)]"
26,26,"[('ich', 0.032), ('das', 0.024), ('und', 0.020363636363636365), ('ist', 0.020363636363636365), ('die', 0.01890909090909091), ('der', 0.013818181818181818), ('mit', 0.01309090909090909), ('auch', 0.01309090909090909), ('ein', 0.01309090909090909), ('nicht', 0.010181818181818183)]"
27,27,"[('report', 0.024803847127309542), ('muell', 0.02237408251075677), ('mueller', 0.016198430777018477), ('barr', 0.015793470007593013), ('break', 0.01351556567957479), ('house', 0.010680840293596557), ('congress', 0.010225259427992912), ('judge', 0.008099215388509239), ('manafort', 0.007997975196152873), ('clear', 0.007491774234371046)]"
28,28,"[('matt', 0.04782608695652174), ('bus', 0.036231884057971016), ('prac', 0.028985507246376812), ('grad_school', 0.02318840579710145), ('niece', 0.015942028985507246), ('counselor', 0.013043478260869565), ('captel', 0.011594202898550725), ('zach', 0.010144927536231883), ('counseling', 0.008695652173913044), ('belat', 0.008695652173913044)]"
29,29,"[('challenge', 0.053864168618266976), ('earn', 0.02663934426229508), ('pt', 0.025468384074941453), ('level_badge', 0.02019906323185012), ('golf_major', 0.014929742388758781), ('winner', 0.011416861826697893), ('golfer', 0.010831381733021077), ('ndun', 0.010831381733021077), ('prize', 0.010245901639344262), ('tonight', 0.009953161592505855)]"
30,30,"[('pw', 0.017543859649122806), ('disappeared', 0.017543859649122806), ('slowly', 0.017543859649122806), ('sal', 0.017543859649122806), ('arbuck', 0.017543859649122806), ('adidas', 0.017543859649122806), ('clearat', 0.017543859649122806), ('mckenzie', 0.017543859649122806), ('comi', 0.017543859649122806), ('tensionle', 0.017543859649122806)]"
31,31,"[('nature', 0.01714614499424626), ('winter', 0.015189873417721518), ('fall', 0.015074798619102417), ('tree', 0.013463751438434982), ('water', 0.012428078250863062), ('blue', 0.011277330264672036), ('spring', 0.011047180667433832), ('mountain', 0.010241657077100116), ('sky', 0.009205983889528193), ('forest', 0.00909090909090909)]"
32,32,"[('beach', 0.04724655819774718), ('north_myrtle', 0.04130162703379224), ('sugar_shack', 0.025344180225281603), ('myrtle_beach', 0.02471839799749687), ('harry', 0.012515644555694618), ('rental', 0.011889862327909888), ('josh', 0.01095118898623279), ('beach_sc', 0.010012515644555695), ('seo', 0.00969962453066333), ('christian', 0.009386733416770964)]"
33,33,"[('great', 0.08365212955878602), ('connect', 0.04259117572047947), ('happy', 0.04182606477939301), ('recent_follow', 0.04042336138740117), ('share', 0.039913287426676866), ('gtgt', 0.02142310635042081), ('play', 0.014409589390461617), ('sign', 0.011986738077021167), ('free', 0.011476664116296864), ('question', 0.010328997704667177)]"
34,34,"[('thisne', 0.005747126436781609), ('john_lewi', 0.005747126436781609), ('jackedup', 0.005747126436781609), ('windmill', 0.005747126436781609), ('spinnerssmall', 0.005747126436781609), ('cog', 0.005747126436781609), ('grit', 0.005747126436781609), ('sill', 0.005747126436781609), ('driscoll', 0.005747126436781609), ('true', 0.005747126436781609)]"
35,35,"[('win', 0.050536420101637496), ('follow', 0.03670242800677583), ('retweet', 0.03359683794466403), ('detail', 0.03274985883681536), ('product', 0.021739130434782608), ('today', 0.01637492941840768), ('fuckin', 0.01101072840203275), ('song', 0.010446075663466968), ('drinkin', 0.00818746470920384), ('ye', 0.00818746470920384)]"
36,36,"[('chimichurri', 0.020202020202020204), ('aloud', 0.010101010101010102), ('pon', 0.010101010101010102), ('fjm', 0.010101010101010102), ('exposureimagine', 0.010101010101010102), ('preponderance', 0.010101010101010102), ('sidewall', 0.010101010101010102), ('alison', 0.010101010101010102), ('shoving', 0.010101010101010102), ('crikey', 0.010101010101010102)]"
37,37,"[('baby', 0.07522935779816514), ('boyfriend', 0.06788990825688074), ('miya', 0.06666666666666667), ('tho', 0.044648318042813454), ('sleepy', 0.04159021406727829), ('otp', 0.03853211009174312), ('smh', 0.03730886850152905), ('wanna', 0.03302752293577982), ('child', 0.03058103975535168), ('min', 0.02874617737003058)]"
38,38,"[('techno', 0.012195121951219513), ('benson', 0.012195121951219513), ('aggravation', 0.012195121951219513), ('listenrumi', 0.006097560975609756), ('collegeee', 0.006097560975609756), ('mineee', 0.006097560975609756), ('hahmy', 0.006097560975609756), ('lupe', 0.006097560975609756), ('sailing', 0.006097560975609756), ('gentlemen', 0.006097560975609756)]"
39,39,"[('zuckerberg', 0.014388489208633094), ('carey', 0.014388489208633094), ('existswe', 0.007194244604316547), ('braille', 0.007194244604316547), ('dtru', 0.007194244604316547), ('okkind', 0.007194244604316547), ('wed', 0.007194244604316547), ('tooim', 0.007194244604316547), ('customization', 0.007194244604316547), ('energ', 0.007194244604316547)]"
40,40,"[('isteniyor', 0.022727272727272728), ('exhilaration', 0.011363636363636364), ('bbubut', 0.011363636363636364), ('outhell', 0.011363636363636364), ('joyfulness', 0.011363636363636364), ('mdiv', 0.011363636363636364), ('kremer', 0.011363636363636364), ('birdit', 0.011363636363636364), ('clothespeople', 0.011363636363636364), ('snort', 0.011363636363636364)]"
41,41,"[('yearplease', 0.01818181818181818), ('perpetual', 0.01818181818181818), ('simulcast', 0.01818181818181818), ('hanna', 0.01818181818181818), ('doode', 0.01818181818181818), ('asyet', 0.01818181818181818), ('fastforward', 0.01818181818181818), ('inlegit', 0.01818181818181818), ('purrrrfect', 0.01818181818181818), ('hitdropp', 0.01818181818181818)]"
42,42,"[('boston', 0.03822525597269624), ('london', 0.025255972696245733), ('dad', 0.023208191126279865), ('internship', 0.021843003412969283), ('bachelor', 0.017747440273037544), ('jersey', 0.014334470989761093), ('instagram', 0.010921501706484642), ('haley', 0.008873720136518772), ('bachelorette', 0.008873720136518772), ('donald_trump', 0.008191126279863481)]"
43,43,"[('card', 0.043358297201419), ('cardinal', 0.023255813953488372), ('lmao', 0.015766653527788728), ('happy', 0.013795821836815136), ('gameday', 0.0130074891604257), ('ughh', 0.011824990145841546), ('pick', 0.011430823807646828), ('football', 0.011430823807646828), ('larry_larry', 0.01064249113125739), ('phoenix', 0.009854158454867954)]"
44,44,"[('drink', 0.0820466242809567), ('drinking', 0.06549601372489657), ('earn', 0.06256938137047129), ('level_badge', 0.048138056312443236), ('ipa', 0.018064385911797355), ('ale', 0.015541426985568674), ('beer', 0.015440508628519528), ('whitley_military', 0.015036835200322939), ('badge', 0.012917549702290847), ('whitley_compound', 0.0128166313452417)]"
45,45,"[('driver', 0.03822019395322305), ('helped_nearby', 0.037649743297204795), ('drive_social', 0.03650884198516828), ('awesome', 0.022247575584711923), ('yea', 0.019110096976611524), ('steeler', 0.016828294352538506), ('richmond', 0.01654306902452938), ('shoulder', 0.013405590416428978), ('kinda', 0.013120365088419851), ('reporting_car', 0.012549914432401598)]"
46,46,"[('watch', 0.09297971918876755), ('star', 0.07301092043681748), ('ep', 0.06583463338533542), ('page', 0.032449297971918874), ('book', 0.029017160686427457), ('finish', 0.023088923556942278), ('read', 0.016536661466458658), ('achievement', 0.01341653666146646), ('trueachievement_point', 0.011232449297971918), ('vol', 0.01029641185647426)]"
47,47,"[('good', 0.03387214999421319), ('win', 0.020967555264071604), ('great', 0.016666023687357742), ('watch', 0.016000540102619497), ('year', 0.01598125072335172), ('tonight', 0.013666525211218703), ('play', 0.011679719146637861), ('back', 0.011419312526522896), ('fan', 0.011216774044211257), ('night', 0.011052814320435169)]"
48,48,"[('industrial_automaton', 0.4946519919392342), ('report', 0.25344907766237795), ('report_pm', 0.24616338552162456), ('pm_industrial', 0.0009300883583940474), ('automaton_noth', 0.0007750736319950396), ('people', 0.0004650441791970237), ('automaton_nothing', 0.0001550147263990079), ('daylightsav', 0.0001550147263990079), ('man', 0.0001550147263990079), ('fuckpeople', 0.0001550147263990079)]"
49,49,"[('giveaway', 0.0616822429906542), ('international', 0.044859813084112146), ('giving_away', 0.03925233644859813), ('join', 0.029906542056074768), ('samsung_galaxy', 0.029906542056074768), ('phone', 0.024299065420560748), ('window', 0.02149532710280374), ('android', 0.018691588785046728), ('nexus', 0.01588785046728972), ('tablet', 0.014953271028037384)]"
